NatomsRetained = 470   ||  NMapping = 22/50  ||  time = 3.3386 sec |||  72/11750
NatomsRetained = 470   ||  NMapping = 23/50  ||  time = 3.2981 sec |||  73/11750
NatomsRetained = 470   ||  NMapping = 24/50  ||  time = 3.2763 sec |||  74/11750
NatomsRetained = 470   ||  NMapping = 25/50  ||  time = 3.3020 sec |||  75/11750
NatomsRetained = 470   ||  NMapping = 26/50  ||  time = 3.3774 sec |||  76/11750
NatomsRetained = 470   ||  NMapping = 27/50  ||  time = 3.3632 sec |||  77/11750
NatomsRetained = 470   ||  NMapping = 28/50  ||  time = 3.3996 sec |||  78/11750
NatomsRetained = 470   ||  NMapping = 29/50  ||  time = 3.2325 sec |||  79/11750
NatomsRetained = 470   ||  NMapping = 30/50  ||  time = 3.3585 sec |||  80/11750
NatomsRetained = 470   ||  NMapping = 31/50  ||  time = 3.3377 sec |||  81/11750
NatomsRetained = 470   ||  NMapping = 32/50  ||  time = 3.3230 sec |||  82/11750
NatomsRetained = 470   ||  NMapping = 33/50  ||  time = 3.3352 sec |||  83/11750
NatomsRetained = 470   ||  NMapping = 34/50  ||  time = 3.3021 sec |||  84/11750
NatomsRetained = 470   ||  NMapping = 35/50  ||  time = 3.4911 sec |||  85/11750
NatomsRetained = 470   ||  NMapping = 36/50  ||  time = 3.4401 sec |||  86/11750
NatomsRetained = 470   ||  NMapping = 37/50  ||  time = 3.3656 sec |||  87/11750
NatomsRetained = 470   ||  NMapping = 38/50  ||  time = 3.3945 sec |||  88/11750
NatomsRetained = 470   ||  NMapping = 39/50  ||  time = 3.3812 sec |||  89/11750
NatomsRetained = 470   ||  NMapping = 40/50  ||  time = 3.4685 sec |||  90/11750
NatomsRetained = 470   ||  NMapping = 41/50  ||  time = 3.3648 sec |||  91/11750
NatomsRetained = 470   ||  NMapping = 42/50  ||  time = 3.3412 sec |||  92/11750
NatomsRetained = 470   ||  NMapping = 43/50  ||  time = 3.2486 sec |||  93/11750
NatomsRetained = 470   ||  NMapping = 44/50  ||  time = 3.4225 sec |||  94/11750
NatomsRetained = 470   ||  NMapping = 45/50  ||  time = 3.3878 sec |||  95/11750
NatomsRetained = 470   ||  NMapping = 46/50  ||  time = 3.4149 sec |||  96/11750
NatomsRetained = 470   ||  NMapping = 47/50  ||  time = 3.4188 sec |||  97/11750
NatomsRetained = 470   ||  NMapping = 48/50  ||  time = 3.4171 sec |||  98/11750
NatomsRetained = 470   ||  NMapping = 49/50  ||  time = 3.2962 sec |||  99/11750
NatomsRetained = 470   ||  NMapping = 50/50  ||  time = 3.2189 sec |||  100/11750
NatomsRetained = 468   ||  NMapping = 1/50  ||  time = 3.3497 sec |||  101/11750
NatomsRetained = 468   ||  NMapping = 2/50  ||  time = 3.2528 sec |||  102/11750
NatomsRetained = 468   ||  NMapping = 3/50  ||  time = 3.3151 sec |||  103/11750
NatomsRetained = 468   ||  NMapping = 4/50  ||  time = 3.2902 sec |||  104/11750
NatomsRetained = 468   ||  NMapping = 5/50  ||  time = 3.4096 sec |||  105/11750
NatomsRetained = 468   ||  NMapping = 6/50  ||  time = 5.1586 sec |||  106/11750
NatomsRetained = 468   ||  NMapping = 7/50  ||  time = 3.3846 sec |||  107/11750
NatomsRetained = 468   ||  NMapping = 8/50  ||  time = 3.4567 sec |||  108/11750
NatomsRetained = 468   ||  NMapping = 9/50  ||  time = 3.3218 sec |||  109/11750
NatomsRetained = 468   ||  NMapping = 10/50  ||  time = 3.4093 sec |||  110/11750
NatomsRetained = 468   ||  NMapping = 11/50  ||  time = 3.3537 sec |||  111/11750
NatomsRetained = 468   ||  NMapping = 12/50  ||  time = 3.3822 sec |||  112/11750
