NatomsRetained = 1303   ||  NMapping = 20/50  ||  time = 6.1893 sec |||  70/10900
NatomsRetained = 1303   ||  NMapping = 21/50  ||  time = 6.3096 sec |||  71/10900
NatomsRetained = 1303   ||  NMapping = 22/50  ||  time = 6.2503 sec |||  72/10900
NatomsRetained = 1303   ||  NMapping = 23/50  ||  time = 6.1231 sec |||  73/10900
NatomsRetained = 1303   ||  NMapping = 24/50  ||  time = 6.2569 sec |||  74/10900
NatomsRetained = 1303   ||  NMapping = 25/50  ||  time = 6.2119 sec |||  75/10900
NatomsRetained = 1303   ||  NMapping = 26/50  ||  time = 6.1847 sec |||  76/10900
NatomsRetained = 1303   ||  NMapping = 27/50  ||  time = 6.2640 sec |||  77/10900
NatomsRetained = 1303   ||  NMapping = 28/50  ||  time = 6.3692 sec |||  78/10900
NatomsRetained = 1303   ||  NMapping = 29/50  ||  time = 6.4408 sec |||  79/10900
NatomsRetained = 1303   ||  NMapping = 30/50  ||  time = 6.2166 sec |||  80/10900
NatomsRetained = 1303   ||  NMapping = 31/50  ||  time = 6.3160 sec |||  81/10900
NatomsRetained = 1303   ||  NMapping = 32/50  ||  time = 6.1875 sec |||  82/10900
NatomsRetained = 1303   ||  NMapping = 33/50  ||  time = 6.2184 sec |||  83/10900
NatomsRetained = 1303   ||  NMapping = 34/50  ||  time = 6.1860 sec |||  84/10900
NatomsRetained = 1303   ||  NMapping = 35/50  ||  time = 6.2013 sec |||  85/10900
NatomsRetained = 1303   ||  NMapping = 36/50  ||  time = 6.1243 sec |||  86/10900
NatomsRetained = 1303   ||  NMapping = 37/50  ||  time = 6.3546 sec |||  87/10900
NatomsRetained = 1303   ||  NMapping = 38/50  ||  time = 6.1954 sec |||  88/10900
NatomsRetained = 1303   ||  NMapping = 39/50  ||  time = 6.3620 sec |||  89/10900
NatomsRetained = 1303   ||  NMapping = 40/50  ||  time = 6.2531 sec |||  90/10900
NatomsRetained = 1303   ||  NMapping = 41/50  ||  time = 6.2808 sec |||  91/10900
NatomsRetained = 1303   ||  NMapping = 42/50  ||  time = 6.2957 sec |||  92/10900
NatomsRetained = 1303   ||  NMapping = 43/50  ||  time = 6.1864 sec |||  93/10900
NatomsRetained = 1303   ||  NMapping = 44/50  ||  time = 6.3036 sec |||  94/10900
NatomsRetained = 1303   ||  NMapping = 45/50  ||  time = 6.3917 sec |||  95/10900
NatomsRetained = 1303   ||  NMapping = 46/50  ||  time = 6.2647 sec |||  96/10900
NatomsRetained = 1303   ||  NMapping = 47/50  ||  time = 6.2979 sec |||  97/10900
NatomsRetained = 1303   ||  NMapping = 48/50  ||  time = 6.2017 sec |||  98/10900
NatomsRetained = 1303   ||  NMapping = 49/50  ||  time = 6.2379 sec |||  99/10900
NatomsRetained = 1303   ||  NMapping = 50/50  ||  time = 6.2396 sec |||  100/10900
NatomsRetained = 1297   ||  NMapping = 1/50  ||  time = 6.3513 sec |||  101/10900
NatomsRetained = 1297   ||  NMapping = 2/50  ||  time = 6.3245 sec |||  102/10900
NatomsRetained = 1297   ||  NMapping = 3/50  ||  time = 6.2500 sec |||  103/10900
NatomsRetained = 1297   ||  NMapping = 4/50  ||  time = 6.1362 sec |||  104/10900
NatomsRetained = 1297   ||  NMapping = 5/50  ||  time = 6.4167 sec |||  105/10900
NatomsRetained = 1297   ||  NMapping = 6/50  ||  time = 6.3516 sec |||  106/10900
NatomsRetained = 1297   ||  NMapping = 7/50  ||  time = 6.2193 sec |||  107/10900
NatomsRetained = 1297   ||  NMapping = 8/50  ||  time = 6.1023 sec |||  108/10900
NatomsRetained = 1297   ||  NMapping = 9/50  ||  time = 6.2945 sec |||  109/10900
NatomsRetained = 1297   ||  NMapping = 10/50  ||  time = 6.2085 sec |||  110/10900
NatomsRetained = 1297   ||  NMapping = 11/50  ||  time = 6.3348 sec |||  111/10900
NatomsRetained = 1297   ||  NMapping = 12/50  ||  time = 6.2587 sec |||  112/10900
NatomsRetained = 1297   ||  NMapping = 13/50  ||  time = 6.1680 sec |||  113/10900
NatomsRetained = 1297   ||  NMapping = 14/50  ||  time = 6.2601 sec |||  114/10900
NatomsRetained = 1297   ||  NMapping = 15/50  ||  time = 6.2228 sec |||  115/10900
NatomsRetained = 1297   ||  NMapping = 16/50  ||  time = 6.1813 sec |||  116/10900
NatomsRetained = 1297   ||  NMapping = 17/50  ||  time = 6.2889 sec |||  117/10900
NatomsRetained = 1297   ||  NMapping = 18/50  ||  time = 6.2490 sec |||  118/10900
NatomsRetained = 1297   ||  NMapping = 19/50  ||  time = 6.2062 sec |||  119/10900
NatomsRetained = 1297   ||  NMapping = 20/50  ||  time = 6.1516 sec |||  120/10900
NatomsRetained = 1297   ||  NMapping = 21/50  ||  time = 6.2037 sec |||  121/10900
NatomsRetained = 1297   ||  NMapping = 22/50  ||  time = 6.4446 sec |||  122/10900
NatomsRetained = 1297   ||  NMapping = 23/50  ||  time = 6.2019 sec |||  123/10900
NatomsRetained = 1297   ||  NMapping = 24/50  ||  time = 6.2773 sec |||  124/10900
NatomsRetained = 1297   ||  NMapping = 25/50  ||  time = 6.2618 sec |||  125/10900
NatomsRetained = 1297   ||  NMapping = 26/50  ||  time = 6.1363 sec |||  126/10900
NatomsRetained = 1297   ||  NMapping = 27/50  ||  time = 6.2713 sec |||  127/10900
NatomsRetained = 1297   ||  NMapping = 28/50  ||  time = 6.1477 sec |||  128/10900
NatomsRetained = 1297   ||  NMapping = 29/50  ||  time = 6.2009 sec |||  129/10900
NatomsRetained = 1297   ||  NMapping = 30/50  ||  time = 6.2629 sec |||  130/10900
