NatomsRetained = 1647   ||  NMapping = 20/50  ||  time = 7.3607 sec |||  70/10350
NatomsRetained = 1647   ||  NMapping = 21/50  ||  time = 7.1635 sec |||  71/10350
NatomsRetained = 1647   ||  NMapping = 22/50  ||  time = 7.3971 sec |||  72/10350
NatomsRetained = 1647   ||  NMapping = 23/50  ||  time = 7.2164 sec |||  73/10350
NatomsRetained = 1647   ||  NMapping = 24/50  ||  time = 7.3207 sec |||  74/10350
NatomsRetained = 1647   ||  NMapping = 25/50  ||  time = 7.1876 sec |||  75/10350
NatomsRetained = 1647   ||  NMapping = 26/50  ||  time = 7.1407 sec |||  76/10350
NatomsRetained = 1647   ||  NMapping = 27/50  ||  time = 7.1121 sec |||  77/10350
NatomsRetained = 1647   ||  NMapping = 28/50  ||  time = 7.1072 sec |||  78/10350
NatomsRetained = 1647   ||  NMapping = 29/50  ||  time = 7.2076 sec |||  79/10350
NatomsRetained = 1647   ||  NMapping = 30/50  ||  time = 7.2090 sec |||  80/10350
NatomsRetained = 1647   ||  NMapping = 31/50  ||  time = 7.0872 sec |||  81/10350
NatomsRetained = 1647   ||  NMapping = 32/50  ||  time = 7.0953 sec |||  82/10350
NatomsRetained = 1647   ||  NMapping = 33/50  ||  time = 7.2316 sec |||  83/10350
NatomsRetained = 1647   ||  NMapping = 34/50  ||  time = 7.2606 sec |||  84/10350
NatomsRetained = 1647   ||  NMapping = 35/50  ||  time = 7.1620 sec |||  85/10350
NatomsRetained = 1647   ||  NMapping = 36/50  ||  time = 7.0183 sec |||  86/10350
NatomsRetained = 1647   ||  NMapping = 37/50  ||  time = 7.0794 sec |||  87/10350
NatomsRetained = 1647   ||  NMapping = 38/50  ||  time = 7.1508 sec |||  88/10350
NatomsRetained = 1647   ||  NMapping = 39/50  ||  time = 7.1850 sec |||  89/10350
NatomsRetained = 1647   ||  NMapping = 40/50  ||  time = 7.3378 sec |||  90/10350
NatomsRetained = 1647   ||  NMapping = 41/50  ||  time = 6.9476 sec |||  91/10350
NatomsRetained = 1647   ||  NMapping = 42/50  ||  time = 7.1317 sec |||  92/10350
NatomsRetained = 1647   ||  NMapping = 43/50  ||  time = 7.0571 sec |||  93/10350
NatomsRetained = 1647   ||  NMapping = 44/50  ||  time = 7.0096 sec |||  94/10350
NatomsRetained = 1647   ||  NMapping = 45/50  ||  time = 7.1220 sec |||  95/10350
NatomsRetained = 1647   ||  NMapping = 46/50  ||  time = 6.9074 sec |||  96/10350
NatomsRetained = 1647   ||  NMapping = 47/50  ||  time = 7.0030 sec |||  97/10350
NatomsRetained = 1647   ||  NMapping = 48/50  ||  time = 7.0537 sec |||  98/10350
NatomsRetained = 1647   ||  NMapping = 49/50  ||  time = 7.2687 sec |||  99/10350
NatomsRetained = 1647   ||  NMapping = 50/50  ||  time = 7.2675 sec |||  100/10350
NatomsRetained = 1639   ||  NMapping = 1/50  ||  time = 7.3451 sec |||  101/10350
NatomsRetained = 1639   ||  NMapping = 2/50  ||  time = 7.0216 sec |||  102/10350
NatomsRetained = 1639   ||  NMapping = 3/50  ||  time = 6.9869 sec |||  103/10350
NatomsRetained = 1639   ||  NMapping = 4/50  ||  time = 7.3999 sec |||  104/10350
NatomsRetained = 1639   ||  NMapping = 5/50  ||  time = 7.0506 sec |||  105/10350
NatomsRetained = 1639   ||  NMapping = 6/50  ||  time = 6.9879 sec |||  106/10350
NatomsRetained = 1639   ||  NMapping = 7/50  ||  time = 7.2739 sec |||  107/10350
NatomsRetained = 1639   ||  NMapping = 8/50  ||  time = 7.3602 sec |||  108/10350
NatomsRetained = 1639   ||  NMapping = 9/50  ||  time = 7.0223 sec |||  109/10350
NatomsRetained = 1639   ||  NMapping = 10/50  ||  time = 7.1460 sec |||  110/10350
NatomsRetained = 1639   ||  NMapping = 11/50  ||  time = 7.0768 sec |||  111/10350
NatomsRetained = 1639   ||  NMapping = 12/50  ||  time = 7.0489 sec |||  112/10350
NatomsRetained = 1639   ||  NMapping = 13/50  ||  time = 7.1706 sec |||  113/10350
NatomsRetained = 1639   ||  NMapping = 14/50  ||  time = 7.1100 sec |||  114/10350
NatomsRetained = 1639   ||  NMapping = 15/50  ||  time = 6.9336 sec |||  115/10350
NatomsRetained = 1639   ||  NMapping = 16/50  ||  time = 7.0445 sec |||  116/10350
NatomsRetained = 1639   ||  NMapping = 17/50  ||  time = 7.0952 sec |||  117/10350
NatomsRetained = 1639   ||  NMapping = 18/50  ||  time = 7.2593 sec |||  118/10350
NatomsRetained = 1639   ||  NMapping = 19/50  ||  time = 7.1828 sec |||  119/10350
NatomsRetained = 1639   ||  NMapping = 20/50  ||  time = 7.1748 sec |||  120/10350
NatomsRetained = 1639   ||  NMapping = 21/50  ||  time = 7.2097 sec |||  121/10350
NatomsRetained = 1639   ||  NMapping = 22/50  ||  time = 7.1347 sec |||  122/10350
NatomsRetained = 1639   ||  NMapping = 23/50  ||  time = 7.4420 sec |||  123/10350
NatomsRetained = 1639   ||  NMapping = 24/50  ||  time = 7.2432 sec |||  124/10350
NatomsRetained = 1639   ||  NMapping = 25/50  ||  time = 6.8912 sec |||  125/10350
NatomsRetained = 1639   ||  NMapping = 26/50  ||  time = 7.2152 sec |||  126/10350
NatomsRetained = 1639   ||  NMapping = 27/50  ||  time = 7.1677 sec |||  127/10350
NatomsRetained = 1639   ||  NMapping = 28/50  ||  time = 7.1240 sec |||  128/10350
NatomsRetained = 1639   ||  NMapping = 29/50  ||  time = 7.1144 sec |||  129/10350
NatomsRetained = 1639   ||  NMapping = 30/50  ||  time = 7.1244 sec |||  130/10350
NatomsRetained = 1639   ||  NMapping = 31/50  ||  time = 7.0741 sec |||  131/10350
NatomsRetained = 1639   ||  NMapping = 32/50  ||  time = 7.3934 sec |||  132/10350
NatomsRetained = 1639   ||  NMapping = 33/50  ||  time = 7.2413 sec |||  133/10350
NatomsRetained = 1639   ||  NMapping = 34/50  ||  time = 7.0792 sec |||  134/10350
NatomsRetained = 1639   ||  NMapping = 35/50  ||  time = 7.1731 sec |||  135/10350
NatomsRetained = 1639   ||  NMapping = 36/50  ||  time = 7.2040 sec |||  136/10350
NatomsRetained = 1639   ||  NMapping = 37/50  ||  time = 7.2327 sec |||  137/10350
NatomsRetained = 1639   ||  NMapping = 38/50  ||  time = 7.0706 sec |||  138/10350
NatomsRetained = 1639   ||  NMapping = 39/50  ||  time = 7.0653 sec |||  139/10350
NatomsRetained = 1639   ||  NMapping = 40/50  ||  time = 6.9395 sec |||  140/10350
NatomsRetained = 1639   ||  NMapping = 41/50  ||  time = 7.0752 sec |||  141/10350
NatomsRetained = 1639   ||  NMapping = 42/50  ||  time = 7.1092 sec |||  142/10350
NatomsRetained = 1639   ||  NMapping = 43/50  ||  time = 7.0862 sec |||  143/10350
NatomsRetained = 1639   ||  NMapping = 44/50  ||  time = 7.0745 sec |||  144/10350
NatomsRetained = 1639   ||  NMapping = 45/50  ||  time = 7.1673 sec |||  145/10350
NatomsRetained = 1639   ||  NMapping = 46/50  ||  time = 6.9980 sec |||  146/10350
NatomsRetained = 1639   ||  NMapping = 47/50  ||  time = 7.2365 sec |||  147/10350
NatomsRetained = 1639   ||  NMapping = 48/50  ||  time = 7.0062 sec |||  148/10350
NatomsRetained = 1639   ||  NMapping = 49/50  ||  time = 6.9770 sec |||  149/10350
NatomsRetained = 1639   ||  NMapping = 50/50  ||  time = 7.0976 sec |||  150/10350
NatomsRetained = 1631   ||  NMapping = 1/50  ||  time = 7.1219 sec |||  151/10350
NatomsRetained = 1631   ||  NMapping = 2/50  ||  time = 7.2045 sec |||  152/10350
NatomsRetained = 1631   ||  NMapping = 3/50  ||  time = 6.9983 sec |||  153/10350
NatomsRetained = 1631   ||  NMapping = 4/50  ||  time = 7.1030 sec |||  154/10350
NatomsRetained = 1631   ||  NMapping = 5/50  ||  time = 7.0894 sec |||  155/10350
NatomsRetained = 1631   ||  NMapping = 6/50  ||  time = 6.9872 sec |||  156/10350
NatomsRetained = 1631   ||  NMapping = 7/50  ||  time = 7.4176 sec |||  157/10350
