NatomsRetained = 4630   ||  NMapping = 20/50  ||  time = 15.9044 sec |||  70/10150
NatomsRetained = 4630   ||  NMapping = 21/50  ||  time = 15.9222 sec |||  71/10150
NatomsRetained = 4630   ||  NMapping = 22/50  ||  time = 15.8167 sec |||  72/10150
NatomsRetained = 4630   ||  NMapping = 23/50  ||  time = 16.2040 sec |||  73/10150
NatomsRetained = 4630   ||  NMapping = 24/50  ||  time = 15.9525 sec |||  74/10150
NatomsRetained = 4630   ||  NMapping = 25/50  ||  time = 16.0988 sec |||  75/10150
NatomsRetained = 4630   ||  NMapping = 26/50  ||  time = 15.9600 sec |||  76/10150
NatomsRetained = 4630   ||  NMapping = 27/50  ||  time = 15.8551 sec |||  77/10150
NatomsRetained = 4630   ||  NMapping = 28/50  ||  time = 16.1473 sec |||  78/10150
NatomsRetained = 4630   ||  NMapping = 29/50  ||  time = 16.0313 sec |||  79/10150
NatomsRetained = 4630   ||  NMapping = 30/50  ||  time = 15.7118 sec |||  80/10150
NatomsRetained = 4630   ||  NMapping = 31/50  ||  time = 15.9330 sec |||  81/10150
NatomsRetained = 4630   ||  NMapping = 32/50  ||  time = 15.7793 sec |||  82/10150
NatomsRetained = 4630   ||  NMapping = 33/50  ||  time = 16.0471 sec |||  83/10150
NatomsRetained = 4630   ||  NMapping = 34/50  ||  time = 15.6591 sec |||  84/10150
NatomsRetained = 4630   ||  NMapping = 35/50  ||  time = 15.5414 sec |||  85/10150
NatomsRetained = 4630   ||  NMapping = 36/50  ||  time = 15.9507 sec |||  86/10150
NatomsRetained = 4630   ||  NMapping = 37/50  ||  time = 16.2449 sec |||  87/10150
NatomsRetained = 4630   ||  NMapping = 38/50  ||  time = 15.9709 sec |||  88/10150
NatomsRetained = 4630   ||  NMapping = 39/50  ||  time = 15.8339 sec |||  89/10150
NatomsRetained = 4630   ||  NMapping = 40/50  ||  time = 15.8470 sec |||  90/10150
NatomsRetained = 4630   ||  NMapping = 41/50  ||  time = 16.1561 sec |||  91/10150
NatomsRetained = 4630   ||  NMapping = 42/50  ||  time = 15.9883 sec |||  92/10150
NatomsRetained = 4630   ||  NMapping = 43/50  ||  time = 16.1051 sec |||  93/10150
NatomsRetained = 4630   ||  NMapping = 44/50  ||  time = 16.2074 sec |||  94/10150
NatomsRetained = 4630   ||  NMapping = 45/50  ||  time = 15.9003 sec |||  95/10150
NatomsRetained = 4630   ||  NMapping = 46/50  ||  time = 15.7574 sec |||  96/10150
NatomsRetained = 4630   ||  NMapping = 47/50  ||  time = 15.9002 sec |||  97/10150
NatomsRetained = 4630   ||  NMapping = 48/50  ||  time = 15.7739 sec |||  98/10150
NatomsRetained = 4630   ||  NMapping = 49/50  ||  time = 16.2156 sec |||  99/10150
NatomsRetained = 4630   ||  NMapping = 50/50  ||  time = 15.7767 sec |||  100/10150
NatomsRetained = 4607   ||  NMapping = 1/50  ||  time = 15.9561 sec |||  101/10150
NatomsRetained = 4607   ||  NMapping = 2/50  ||  time = 15.9974 sec |||  102/10150
NatomsRetained = 4607   ||  NMapping = 3/50  ||  time = 15.9007 sec |||  103/10150
NatomsRetained = 4607   ||  NMapping = 4/50  ||  time = 15.8433 sec |||  104/10150
NatomsRetained = 4607   ||  NMapping = 5/50  ||  time = 15.8552 sec |||  105/10150
NatomsRetained = 4607   ||  NMapping = 6/50  ||  time = 15.9269 sec |||  106/10150
NatomsRetained = 4607   ||  NMapping = 7/50  ||  time = 15.7725 sec |||  107/10150
NatomsRetained = 4607   ||  NMapping = 8/50  ||  time = 16.1776 sec |||  108/10150
NatomsRetained = 4607   ||  NMapping = 9/50  ||  time = 16.1876 sec |||  109/10150
NatomsRetained = 4607   ||  NMapping = 10/50  ||  time = 16.0025 sec |||  110/10150
NatomsRetained = 4607   ||  NMapping = 11/50  ||  time = 15.9586 sec |||  111/10150
NatomsRetained = 4607   ||  NMapping = 12/50  ||  time = 15.9170 sec |||  112/10150
NatomsRetained = 4607   ||  NMapping = 13/50  ||  time = 16.0628 sec |||  113/10150
NatomsRetained = 4607   ||  NMapping = 14/50  ||  time = 15.9582 sec |||  114/10150
NatomsRetained = 4607   ||  NMapping = 15/50  ||  time = 15.9165 sec |||  115/10150
NatomsRetained = 4607   ||  NMapping = 16/50  ||  time = 15.9799 sec |||  116/10150
NatomsRetained = 4607   ||  NMapping = 17/50  ||  time = 16.3205 sec |||  117/10150
NatomsRetained = 4607   ||  NMapping = 18/50  ||  time = 16.0991 sec |||  118/10150
NatomsRetained = 4607   ||  NMapping = 19/50  ||  time = 15.6522 sec |||  119/10150
NatomsRetained = 4607   ||  NMapping = 20/50  ||  time = 15.7160 sec |||  120/10150
NatomsRetained = 4607   ||  NMapping = 21/50  ||  time = 15.6597 sec |||  121/10150
NatomsRetained = 4607   ||  NMapping = 22/50  ||  time = 16.1345 sec |||  122/10150
NatomsRetained = 4607   ||  NMapping = 23/50  ||  time = 16.2583 sec |||  123/10150
NatomsRetained = 4607   ||  NMapping = 24/50  ||  time = 16.0135 sec |||  124/10150
NatomsRetained = 4607   ||  NMapping = 25/50  ||  time = 15.7933 sec |||  125/10150
NatomsRetained = 4607   ||  NMapping = 26/50  ||  time = 16.0353 sec |||  126/10150
NatomsRetained = 4607   ||  NMapping = 27/50  ||  time = 15.7474 sec |||  127/10150
NatomsRetained = 4607   ||  NMapping = 28/50  ||  time = 15.5831 sec |||  128/10150
NatomsRetained = 4607   ||  NMapping = 29/50  ||  time = 15.8546 sec |||  129/10150
NatomsRetained = 4607   ||  NMapping = 30/50  ||  time = 15.6946 sec |||  130/10150
NatomsRetained = 4607   ||  NMapping = 31/50  ||  time = 16.0400 sec |||  131/10150
NatomsRetained = 4607   ||  NMapping = 32/50  ||  time = 16.1979 sec |||  132/10150
NatomsRetained = 4607   ||  NMapping = 33/50  ||  time = 15.9255 sec |||  133/10150
NatomsRetained = 4607   ||  NMapping = 34/50  ||  time = 15.6279 sec |||  134/10150
NatomsRetained = 4607   ||  NMapping = 35/50  ||  time = 16.1778 sec |||  135/10150
NatomsRetained = 4607   ||  NMapping = 36/50  ||  time = 15.8557 sec |||  136/10150
NatomsRetained = 4607   ||  NMapping = 37/50  ||  time = 16.3201 sec |||  137/10150
NatomsRetained = 4607   ||  NMapping = 38/50  ||  time = 15.7704 sec |||  138/10150
NatomsRetained = 4607   ||  NMapping = 39/50  ||  time = 15.5826 sec |||  139/10150
NatomsRetained = 4607   ||  NMapping = 40/50  ||  time = 16.1888 sec |||  140/10150
NatomsRetained = 4607   ||  NMapping = 41/50  ||  time = 15.9649 sec |||  141/10150
NatomsRetained = 4607   ||  NMapping = 42/50  ||  time = 15.5749 sec |||  142/10150
NatomsRetained = 4607   ||  NMapping = 43/50  ||  time = 16.3199 sec |||  143/10150
NatomsRetained = 4607   ||  NMapping = 44/50  ||  time = 16.0386 sec |||  144/10150
NatomsRetained = 4607   ||  NMapping = 45/50  ||  time = 16.3173 sec |||  145/10150
NatomsRetained = 4607   ||  NMapping = 46/50  ||  time = 16.2976 sec |||  146/10150
NatomsRetained = 4607   ||  NMapping = 47/50  ||  time = 15.7962 sec |||  147/10150
NatomsRetained = 4607   ||  NMapping = 48/50  ||  time = 15.8291 sec |||  148/10150
NatomsRetained = 4607   ||  NMapping = 49/50  ||  time = 15.9195 sec |||  149/10150
NatomsRetained = 4607   ||  NMapping = 50/50  ||  time = 16.1802 sec |||  150/10150
NatomsRetained = 4584   ||  NMapping = 1/50  ||  time = 16.0846 sec |||  151/10150
NatomsRetained = 4584   ||  NMapping = 2/50  ||  time = 15.9428 sec |||  152/10150
NatomsRetained = 4584   ||  NMapping = 3/50  ||  time = 15.6871 sec |||  153/10150
NatomsRetained = 4584   ||  NMapping = 4/50  ||  time = 15.9257 sec |||  154/10150
NatomsRetained = 4584   ||  NMapping = 5/50  ||  time = 16.1354 sec |||  155/10150
NatomsRetained = 4584   ||  NMapping = 6/50  ||  time = 15.9253 sec |||  156/10150
NatomsRetained = 4584   ||  NMapping = 7/50  ||  time = 15.9105 sec |||  157/10150
NatomsRetained = 4584   ||  NMapping = 8/50  ||  time = 15.7260 sec |||  158/10150
NatomsRetained = 4584   ||  NMapping = 9/50  ||  time = 15.7529 sec |||  159/10150
NatomsRetained = 4584   ||  NMapping = 10/50  ||  time = 16.0632 sec |||  160/10150
NatomsRetained = 4584   ||  NMapping = 11/50  ||  time = 15.8466 sec |||  161/10150
NatomsRetained = 4584   ||  NMapping = 12/50  ||  time = 15.5686 sec |||  162/10150
NatomsRetained = 4584   ||  NMapping = 13/50  ||  time = 15.3972 sec |||  163/10150
NatomsRetained = 4584   ||  NMapping = 14/50  ||  time = 15.8262 sec |||  164/10150
NatomsRetained = 4584   ||  NMapping = 15/50  ||  time = 15.9429 sec |||  165/10150
NatomsRetained = 4584   ||  NMapping = 16/50  ||  time = 15.6716 sec |||  166/10150
NatomsRetained = 4584   ||  NMapping = 17/50  ||  time = 15.9547 sec |||  167/10150
NatomsRetained = 4584   ||  NMapping = 18/50  ||  time = 15.6936 sec |||  168/10150
NatomsRetained = 4584   ||  NMapping = 19/50  ||  time = 15.5679 sec |||  169/10150
NatomsRetained = 4584   ||  NMapping = 20/50  ||  time = 15.4755 sec |||  170/10150
