NatomsRetained = 431   ||  NMapping = 22/50  ||  time = 3.3510 sec |||  72/10800
NatomsRetained = 431   ||  NMapping = 23/50  ||  time = 3.3684 sec |||  73/10800
NatomsRetained = 431   ||  NMapping = 24/50  ||  time = 3.4204 sec |||  74/10800
NatomsRetained = 431   ||  NMapping = 25/50  ||  time = 3.3740 sec |||  75/10800
NatomsRetained = 431   ||  NMapping = 26/50  ||  time = 3.4830 sec |||  76/10800
NatomsRetained = 431   ||  NMapping = 27/50  ||  time = 3.5134 sec |||  77/10800
NatomsRetained = 431   ||  NMapping = 28/50  ||  time = 3.3672 sec |||  78/10800
NatomsRetained = 431   ||  NMapping = 29/50  ||  time = 3.5166 sec |||  79/10800
NatomsRetained = 431   ||  NMapping = 30/50  ||  time = 3.4669 sec |||  80/10800
NatomsRetained = 431   ||  NMapping = 31/50  ||  time = 3.5254 sec |||  81/10800
NatomsRetained = 431   ||  NMapping = 32/50  ||  time = 3.3053 sec |||  82/10800
NatomsRetained = 431   ||  NMapping = 33/50  ||  time = 3.3769 sec |||  83/10800
NatomsRetained = 431   ||  NMapping = 34/50  ||  time = 3.3809 sec |||  84/10800
NatomsRetained = 431   ||  NMapping = 35/50  ||  time = 3.3590 sec |||  85/10800
NatomsRetained = 431   ||  NMapping = 36/50  ||  time = 3.3381 sec |||  86/10800
NatomsRetained = 431   ||  NMapping = 37/50  ||  time = 3.3588 sec |||  87/10800
NatomsRetained = 431   ||  NMapping = 38/50  ||  time = 3.2676 sec |||  88/10800
NatomsRetained = 431   ||  NMapping = 39/50  ||  time = 3.3506 sec |||  89/10800
NatomsRetained = 431   ||  NMapping = 40/50  ||  time = 3.2152 sec |||  90/10800
NatomsRetained = 431   ||  NMapping = 41/50  ||  time = 3.3880 sec |||  91/10800
NatomsRetained = 431   ||  NMapping = 42/50  ||  time = 3.3492 sec |||  92/10800
NatomsRetained = 431   ||  NMapping = 43/50  ||  time = 3.2728 sec |||  93/10800
NatomsRetained = 431   ||  NMapping = 44/50  ||  time = 3.5460 sec |||  94/10800
NatomsRetained = 431   ||  NMapping = 45/50  ||  time = 3.4357 sec |||  95/10800
NatomsRetained = 431   ||  NMapping = 46/50  ||  time = 3.3565 sec |||  96/10800
NatomsRetained = 431   ||  NMapping = 47/50  ||  time = 3.5602 sec |||  97/10800
NatomsRetained = 431   ||  NMapping = 48/50  ||  time = 3.3345 sec |||  98/10800
NatomsRetained = 431   ||  NMapping = 49/50  ||  time = 3.3177 sec |||  99/10800
NatomsRetained = 431   ||  NMapping = 50/50  ||  time = 3.4074 sec |||  100/10800
NatomsRetained = 429   ||  NMapping = 1/50  ||  time = 3.2315 sec |||  101/10800
NatomsRetained = 429   ||  NMapping = 2/50  ||  time = 3.4668 sec |||  102/10800
NatomsRetained = 429   ||  NMapping = 3/50  ||  time = 3.4190 sec |||  103/10800
NatomsRetained = 429   ||  NMapping = 4/50  ||  time = 3.3619 sec |||  104/10800
NatomsRetained = 429   ||  NMapping = 5/50  ||  time = 3.3552 sec |||  105/10800
NatomsRetained = 429   ||  NMapping = 6/50  ||  time = 3.4689 sec |||  106/10800
NatomsRetained = 429   ||  NMapping = 7/50  ||  time = 3.3353 sec |||  107/10800
NatomsRetained = 429   ||  NMapping = 8/50  ||  time = 3.2617 sec |||  108/10800
NatomsRetained = 429   ||  NMapping = 9/50  ||  time = 3.4448 sec |||  109/10800
NatomsRetained = 429   ||  NMapping = 10/50  ||  time = 3.3695 sec |||  110/10800
NatomsRetained = 429   ||  NMapping = 11/50  ||  time = 3.3974 sec |||  111/10800
NatomsRetained = 429   ||  NMapping = 12/50  ||  time = 3.5496 sec |||  112/10800
NatomsRetained = 429   ||  NMapping = 13/50  ||  time = 3.3394 sec |||  113/10800
NatomsRetained = 429   ||  NMapping = 14/50  ||  time = 3.4368 sec |||  114/10800
NatomsRetained = 429   ||  NMapping = 15/50  ||  time = 3.2706 sec |||  115/10800
NatomsRetained = 429   ||  NMapping = 16/50  ||  time = 3.5317 sec |||  116/10800
NatomsRetained = 429   ||  NMapping = 17/50  ||  time = 3.5698 sec |||  117/10800
NatomsRetained = 429   ||  NMapping = 18/50  ||  time = 3.6303 sec |||  118/10800
NatomsRetained = 429   ||  NMapping = 19/50  ||  time = 3.4381 sec |||  119/10800
NatomsRetained = 429   ||  NMapping = 20/50  ||  time = 3.3393 sec |||  120/10800
NatomsRetained = 429   ||  NMapping = 21/50  ||  time = 3.6337 sec |||  121/10800
NatomsRetained = 429   ||  NMapping = 22/50  ||  time = 3.3795 sec |||  122/10800
NatomsRetained = 429   ||  NMapping = 23/50  ||  time = 3.3454 sec |||  123/10800
