NatomsRetained = 4630   ||  NMapping = 20/50  ||  time = 15.0532 sec |||  70/10150
NatomsRetained = 4630   ||  NMapping = 21/50  ||  time = 14.8685 sec |||  71/10150
NatomsRetained = 4630   ||  NMapping = 22/50  ||  time = 15.0450 sec |||  72/10150
NatomsRetained = 4630   ||  NMapping = 23/50  ||  time = 14.9656 sec |||  73/10150
NatomsRetained = 4630   ||  NMapping = 24/50  ||  time = 14.6292 sec |||  74/10150
NatomsRetained = 4630   ||  NMapping = 25/50  ||  time = 15.0714 sec |||  75/10150
NatomsRetained = 4630   ||  NMapping = 26/50  ||  time = 14.8789 sec |||  76/10150
NatomsRetained = 4630   ||  NMapping = 27/50  ||  time = 14.9885 sec |||  77/10150
NatomsRetained = 4630   ||  NMapping = 28/50  ||  time = 15.1148 sec |||  78/10150
NatomsRetained = 4630   ||  NMapping = 29/50  ||  time = 14.7143 sec |||  79/10150
NatomsRetained = 4630   ||  NMapping = 30/50  ||  time = 14.9892 sec |||  80/10150
NatomsRetained = 4630   ||  NMapping = 31/50  ||  time = 14.8735 sec |||  81/10150
NatomsRetained = 4630   ||  NMapping = 32/50  ||  time = 14.5436 sec |||  82/10150
NatomsRetained = 4630   ||  NMapping = 33/50  ||  time = 14.9266 sec |||  83/10150
NatomsRetained = 4630   ||  NMapping = 34/50  ||  time = 14.8694 sec |||  84/10150
NatomsRetained = 4630   ||  NMapping = 35/50  ||  time = 14.9166 sec |||  85/10150
NatomsRetained = 4630   ||  NMapping = 36/50  ||  time = 14.8997 sec |||  86/10150
NatomsRetained = 4630   ||  NMapping = 37/50  ||  time = 14.7892 sec |||  87/10150
NatomsRetained = 4630   ||  NMapping = 38/50  ||  time = 14.7345 sec |||  88/10150
NatomsRetained = 4630   ||  NMapping = 39/50  ||  time = 14.9992 sec |||  89/10150
NatomsRetained = 4630   ||  NMapping = 40/50  ||  time = 14.9614 sec |||  90/10150
NatomsRetained = 4630   ||  NMapping = 41/50  ||  time = 15.0541 sec |||  91/10150
NatomsRetained = 4630   ||  NMapping = 42/50  ||  time = 14.8042 sec |||  92/10150
NatomsRetained = 4630   ||  NMapping = 43/50  ||  time = 15.0536 sec |||  93/10150
NatomsRetained = 4630   ||  NMapping = 44/50  ||  time = 14.8972 sec |||  94/10150
NatomsRetained = 4630   ||  NMapping = 45/50  ||  time = 15.0091 sec |||  95/10150
NatomsRetained = 4630   ||  NMapping = 46/50  ||  time = 14.7737 sec |||  96/10150
NatomsRetained = 4630   ||  NMapping = 47/50  ||  time = 14.9020 sec |||  97/10150
NatomsRetained = 4630   ||  NMapping = 48/50  ||  time = 14.9078 sec |||  98/10150
NatomsRetained = 4630   ||  NMapping = 49/50  ||  time = 14.8613 sec |||  99/10150
NatomsRetained = 4630   ||  NMapping = 50/50  ||  time = 14.9630 sec |||  100/10150
NatomsRetained = 4607   ||  NMapping = 1/50  ||  time = 14.8389 sec |||  101/10150
NatomsRetained = 4607   ||  NMapping = 2/50  ||  time = 14.7328 sec |||  102/10150
NatomsRetained = 4607   ||  NMapping = 3/50  ||  time = 14.9391 sec |||  103/10150
NatomsRetained = 4607   ||  NMapping = 4/50  ||  time = 14.6611 sec |||  104/10150
NatomsRetained = 4607   ||  NMapping = 5/50  ||  time = 14.6439 sec |||  105/10150
NatomsRetained = 4607   ||  NMapping = 6/50  ||  time = 14.6805 sec |||  106/10150
NatomsRetained = 4607   ||  NMapping = 7/50  ||  time = 14.8955 sec |||  107/10150
NatomsRetained = 4607   ||  NMapping = 8/50  ||  time = 14.7159 sec |||  108/10150
NatomsRetained = 4607   ||  NMapping = 9/50  ||  time = 14.9395 sec |||  109/10150
NatomsRetained = 4607   ||  NMapping = 10/50  ||  time = 14.9853 sec |||  110/10150
NatomsRetained = 4607   ||  NMapping = 11/50  ||  time = 14.5210 sec |||  111/10150
NatomsRetained = 4607   ||  NMapping = 12/50  ||  time = 14.7459 sec |||  112/10150
NatomsRetained = 4607   ||  NMapping = 13/50  ||  time = 14.8027 sec |||  113/10150
NatomsRetained = 4607   ||  NMapping = 14/50  ||  time = 14.7382 sec |||  114/10150
NatomsRetained = 4607   ||  NMapping = 15/50  ||  time = 14.6625 sec |||  115/10150
NatomsRetained = 4607   ||  NMapping = 16/50  ||  time = 14.7081 sec |||  116/10150
NatomsRetained = 4607   ||  NMapping = 17/50  ||  time = 14.6744 sec |||  117/10150
NatomsRetained = 4607   ||  NMapping = 18/50  ||  time = 14.7574 sec |||  118/10150
NatomsRetained = 4607   ||  NMapping = 19/50  ||  time = 14.9179 sec |||  119/10150
NatomsRetained = 4607   ||  NMapping = 20/50  ||  time = 14.6679 sec |||  120/10150
NatomsRetained = 4607   ||  NMapping = 21/50  ||  time = 15.0227 sec |||  121/10150
NatomsRetained = 4607   ||  NMapping = 22/50  ||  time = 14.6300 sec |||  122/10150
NatomsRetained = 4607   ||  NMapping = 23/50  ||  time = 14.9153 sec |||  123/10150
NatomsRetained = 4607   ||  NMapping = 24/50  ||  time = 15.0344 sec |||  124/10150
NatomsRetained = 4607   ||  NMapping = 25/50  ||  time = 14.8040 sec |||  125/10150
NatomsRetained = 4607   ||  NMapping = 26/50  ||  time = 14.7323 sec |||  126/10150
NatomsRetained = 4607   ||  NMapping = 27/50  ||  time = 14.8508 sec |||  127/10150
NatomsRetained = 4607   ||  NMapping = 28/50  ||  time = 14.6902 sec |||  128/10150
NatomsRetained = 4607   ||  NMapping = 29/50  ||  time = 14.8221 sec |||  129/10150
NatomsRetained = 4607   ||  NMapping = 30/50  ||  time = 14.7326 sec |||  130/10150
