NatomsRetained = 2387   ||  NMapping = 20/50  ||  time = 9.6194 sec |||  70/10000
NatomsRetained = 2387   ||  NMapping = 21/50  ||  time = 9.6236 sec |||  71/10000
NatomsRetained = 2387   ||  NMapping = 22/50  ||  time = 9.6904 sec |||  72/10000
NatomsRetained = 2387   ||  NMapping = 23/50  ||  time = 9.5802 sec |||  73/10000
NatomsRetained = 2387   ||  NMapping = 24/50  ||  time = 9.4372 sec |||  74/10000
NatomsRetained = 2387   ||  NMapping = 25/50  ||  time = 9.5386 sec |||  75/10000
NatomsRetained = 2387   ||  NMapping = 26/50  ||  time = 9.5736 sec |||  76/10000
NatomsRetained = 2387   ||  NMapping = 27/50  ||  time = 9.7297 sec |||  77/10000
NatomsRetained = 2387   ||  NMapping = 28/50  ||  time = 9.3054 sec |||  78/10000
NatomsRetained = 2387   ||  NMapping = 29/50  ||  time = 9.5053 sec |||  79/10000
NatomsRetained = 2387   ||  NMapping = 30/50  ||  time = 9.3438 sec |||  80/10000
NatomsRetained = 2387   ||  NMapping = 31/50  ||  time = 9.5383 sec |||  81/10000
NatomsRetained = 2387   ||  NMapping = 32/50  ||  time = 9.3509 sec |||  82/10000
NatomsRetained = 2387   ||  NMapping = 33/50  ||  time = 9.6202 sec |||  83/10000
NatomsRetained = 2387   ||  NMapping = 34/50  ||  time = 9.4976 sec |||  84/10000
NatomsRetained = 2387   ||  NMapping = 35/50  ||  time = 9.3772 sec |||  85/10000
NatomsRetained = 2387   ||  NMapping = 36/50  ||  time = 9.1763 sec |||  86/10000
NatomsRetained = 2387   ||  NMapping = 37/50  ||  time = 9.3519 sec |||  87/10000
NatomsRetained = 2387   ||  NMapping = 38/50  ||  time = 9.2400 sec |||  88/10000
NatomsRetained = 2387   ||  NMapping = 39/50  ||  time = 9.5338 sec |||  89/10000
NatomsRetained = 2387   ||  NMapping = 40/50  ||  time = 9.3739 sec |||  90/10000
NatomsRetained = 2387   ||  NMapping = 41/50  ||  time = 9.3905 sec |||  91/10000
NatomsRetained = 2387   ||  NMapping = 42/50  ||  time = 9.4567 sec |||  92/10000
NatomsRetained = 2387   ||  NMapping = 43/50  ||  time = 9.3534 sec |||  93/10000
NatomsRetained = 2387   ||  NMapping = 44/50  ||  time = 9.7118 sec |||  94/10000
NatomsRetained = 2387   ||  NMapping = 45/50  ||  time = 9.3895 sec |||  95/10000
NatomsRetained = 2387   ||  NMapping = 46/50  ||  time = 9.4539 sec |||  96/10000
NatomsRetained = 2387   ||  NMapping = 47/50  ||  time = 9.3990 sec |||  97/10000
NatomsRetained = 2387   ||  NMapping = 48/50  ||  time = 9.6449 sec |||  98/10000
NatomsRetained = 2387   ||  NMapping = 49/50  ||  time = 9.2639 sec |||  99/10000
NatomsRetained = 2387   ||  NMapping = 50/50  ||  time = 9.5632 sec |||  100/10000
NatomsRetained = 2375   ||  NMapping = 1/50  ||  time = 9.3865 sec |||  101/10000
NatomsRetained = 2375   ||  NMapping = 2/50  ||  time = 9.5849 sec |||  102/10000
NatomsRetained = 2375   ||  NMapping = 3/50  ||  time = 9.1637 sec |||  103/10000
NatomsRetained = 2375   ||  NMapping = 4/50  ||  time = 9.4226 sec |||  104/10000
NatomsRetained = 2375   ||  NMapping = 5/50  ||  time = 9.3798 sec |||  105/10000
NatomsRetained = 2375   ||  NMapping = 6/50  ||  time = 9.1507 sec |||  106/10000
NatomsRetained = 2375   ||  NMapping = 7/50  ||  time = 9.1038 sec |||  107/10000
NatomsRetained = 2375   ||  NMapping = 8/50  ||  time = 9.2587 sec |||  108/10000
NatomsRetained = 2375   ||  NMapping = 9/50  ||  time = 9.6934 sec |||  109/10000
NatomsRetained = 2375   ||  NMapping = 10/50  ||  time = 9.4423 sec |||  110/10000
NatomsRetained = 2375   ||  NMapping = 11/50  ||  time = 9.2584 sec |||  111/10000
NatomsRetained = 2375   ||  NMapping = 12/50  ||  time = 9.4142 sec |||  112/10000
NatomsRetained = 2375   ||  NMapping = 13/50  ||  time = 9.4970 sec |||  113/10000
NatomsRetained = 2375   ||  NMapping = 14/50  ||  time = 9.4459 sec |||  114/10000
NatomsRetained = 2375   ||  NMapping = 15/50  ||  time = 9.5285 sec |||  115/10000
NatomsRetained = 2375   ||  NMapping = 16/50  ||  time = 9.4068 sec |||  116/10000
NatomsRetained = 2375   ||  NMapping = 17/50  ||  time = 9.5207 sec |||  117/10000
NatomsRetained = 2375   ||  NMapping = 18/50  ||  time = 9.5287 sec |||  118/10000
NatomsRetained = 2375   ||  NMapping = 19/50  ||  time = 9.1944 sec |||  119/10000
NatomsRetained = 2375   ||  NMapping = 20/50  ||  time = 9.4920 sec |||  120/10000
NatomsRetained = 2375   ||  NMapping = 21/50  ||  time = 9.2773 sec |||  121/10000
NatomsRetained = 2375   ||  NMapping = 22/50  ||  time = 9.3580 sec |||  122/10000
NatomsRetained = 2375   ||  NMapping = 23/50  ||  time = 9.2782 sec |||  123/10000
NatomsRetained = 2375   ||  NMapping = 24/50  ||  time = 9.4010 sec |||  124/10000
NatomsRetained = 2375   ||  NMapping = 25/50  ||  time = 9.5078 sec |||  125/10000
NatomsRetained = 2375   ||  NMapping = 26/50  ||  time = 9.2605 sec |||  126/10000
NatomsRetained = 2375   ||  NMapping = 27/50  ||  time = 9.4582 sec |||  127/10000
NatomsRetained = 2375   ||  NMapping = 28/50  ||  time = 9.4038 sec |||  128/10000
NatomsRetained = 2375   ||  NMapping = 29/50  ||  time = 9.6727 sec |||  129/10000
NatomsRetained = 2375   ||  NMapping = 30/50  ||  time = 9.4021 sec |||  130/10000
NatomsRetained = 2375   ||  NMapping = 31/50  ||  time = 9.3304 sec |||  131/10000
NatomsRetained = 2375   ||  NMapping = 32/50  ||  time = 9.1797 sec |||  132/10000
NatomsRetained = 2375   ||  NMapping = 33/50  ||  time = 9.3603 sec |||  133/10000
NatomsRetained = 2375   ||  NMapping = 34/50  ||  time = 9.2588 sec |||  134/10000
NatomsRetained = 2375   ||  NMapping = 35/50  ||  time = 9.1961 sec |||  135/10000
NatomsRetained = 2375   ||  NMapping = 36/50  ||  time = 9.3783 sec |||  136/10000
NatomsRetained = 2375   ||  NMapping = 37/50  ||  time = 9.2821 sec |||  137/10000
NatomsRetained = 2375   ||  NMapping = 38/50  ||  time = 9.4055 sec |||  138/10000
NatomsRetained = 2375   ||  NMapping = 39/50  ||  time = 9.3494 sec |||  139/10000
NatomsRetained = 2375   ||  NMapping = 40/50  ||  time = 9.3579 sec |||  140/10000
NatomsRetained = 2375   ||  NMapping = 41/50  ||  time = 9.4417 sec |||  141/10000
NatomsRetained = 2375   ||  NMapping = 42/50  ||  time = 9.3969 sec |||  142/10000
NatomsRetained = 2375   ||  NMapping = 43/50  ||  time = 9.4239 sec |||  143/10000
NatomsRetained = 2375   ||  NMapping = 44/50  ||  time = 9.1592 sec |||  144/10000
NatomsRetained = 2375   ||  NMapping = 45/50  ||  time = 9.4673 sec |||  145/10000
NatomsRetained = 2375   ||  NMapping = 46/50  ||  time = 9.2863 sec |||  146/10000
NatomsRetained = 2375   ||  NMapping = 47/50  ||  time = 9.1754 sec |||  147/10000
NatomsRetained = 2375   ||  NMapping = 48/50  ||  time = 9.2889 sec |||  148/10000
NatomsRetained = 2375   ||  NMapping = 49/50  ||  time = 9.5682 sec |||  149/10000
NatomsRetained = 2375   ||  NMapping = 50/50  ||  time = 9.2159 sec |||  150/10000
NatomsRetained = 2363   ||  NMapping = 1/50  ||  time = 9.2901 sec |||  151/10000
NatomsRetained = 2363   ||  NMapping = 2/50  ||  time = 9.5098 sec |||  152/10000
NatomsRetained = 2363   ||  NMapping = 3/50  ||  time = 9.4067 sec |||  153/10000
NatomsRetained = 2363   ||  NMapping = 4/50  ||  time = 9.4424 sec |||  154/10000
NatomsRetained = 2363   ||  NMapping = 5/50  ||  time = 9.2165 sec |||  155/10000
NatomsRetained = 2363   ||  NMapping = 6/50  ||  time = 9.3044 sec |||  156/10000
NatomsRetained = 2363   ||  NMapping = 7/50  ||  time = 9.5589 sec |||  157/10000
NatomsRetained = 2363   ||  NMapping = 8/50  ||  time = 9.2751 sec |||  158/10000
NatomsRetained = 2363   ||  NMapping = 9/50  ||  time = 9.2774 sec |||  159/10000
NatomsRetained = 2363   ||  NMapping = 10/50  ||  time = 9.3911 sec |||  160/10000
NatomsRetained = 2363   ||  NMapping = 11/50  ||  time = 9.4468 sec |||  161/10000
NatomsRetained = 2363   ||  NMapping = 12/50  ||  time = 9.2419 sec |||  162/10000
NatomsRetained = 2363   ||  NMapping = 13/50  ||  time = 9.4348 sec |||  163/10000
NatomsRetained = 2363   ||  NMapping = 14/50  ||  time = 9.2317 sec |||  164/10000
NatomsRetained = 2363   ||  NMapping = 15/50  ||  time = 9.5871 sec |||  165/10000
NatomsRetained = 2363   ||  NMapping = 16/50  ||  time = 9.3620 sec |||  166/10000
NatomsRetained = 2363   ||  NMapping = 17/50  ||  time = 9.4931 sec |||  167/10000
NatomsRetained = 2363   ||  NMapping = 18/50  ||  time = 9.5854 sec |||  168/10000
NatomsRetained = 2363   ||  NMapping = 19/50  ||  time = 9.2920 sec |||  169/10000
NatomsRetained = 2363   ||  NMapping = 20/50  ||  time = 9.6003 sec |||  170/10000
NatomsRetained = 2363   ||  NMapping = 21/50  ||  time = 9.5128 sec |||  171/10000
NatomsRetained = 2363   ||  NMapping = 22/50  ||  time = 9.2195 sec |||  172/10000
NatomsRetained = 2363   ||  NMapping = 23/50  ||  time = 9.7778 sec |||  173/10000
NatomsRetained = 2363   ||  NMapping = 24/50  ||  time = 9.3323 sec |||  174/10000
NatomsRetained = 2363   ||  NMapping = 25/50  ||  time = 9.4168 sec |||  175/10000
NatomsRetained = 2363   ||  NMapping = 26/50  ||  time = 9.4485 sec |||  176/10000
NatomsRetained = 2363   ||  NMapping = 27/50  ||  time = 9.4640 sec |||  177/10000
NatomsRetained = 2363   ||  NMapping = 28/50  ||  time = 9.4521 sec |||  178/10000
NatomsRetained = 2363   ||  NMapping = 29/50  ||  time = 9.4342 sec |||  179/10000
NatomsRetained = 2363   ||  NMapping = 30/50  ||  time = 9.1243 sec |||  180/10000
NatomsRetained = 2363   ||  NMapping = 31/50  ||  time = 9.4863 sec |||  181/10000
NatomsRetained = 2363   ||  NMapping = 32/50  ||  time = 9.5267 sec |||  182/10000
NatomsRetained = 2363   ||  NMapping = 33/50  ||  time = 9.2800 sec |||  183/10000
NatomsRetained = 2363   ||  NMapping = 34/50  ||  time = 9.2605 sec |||  184/10000
NatomsRetained = 2363   ||  NMapping = 35/50  ||  time = 9.3315 sec |||  185/10000
NatomsRetained = 2363   ||  NMapping = 36/50  ||  time = 9.3498 sec |||  186/10000
NatomsRetained = 2363   ||  NMapping = 37/50  ||  time = 9.2138 sec |||  187/10000
