NatomsRetained = 1303   ||  NMapping = 20/50  ||  time = 6.1177 sec |||  70/10900
NatomsRetained = 1303   ||  NMapping = 21/50  ||  time = 5.9722 sec |||  71/10900
NatomsRetained = 1303   ||  NMapping = 22/50  ||  time = 5.8702 sec |||  72/10900
NatomsRetained = 1303   ||  NMapping = 23/50  ||  time = 6.0693 sec |||  73/10900
NatomsRetained = 1303   ||  NMapping = 24/50  ||  time = 5.8933 sec |||  74/10900
NatomsRetained = 1303   ||  NMapping = 25/50  ||  time = 5.7782 sec |||  75/10900
NatomsRetained = 1303   ||  NMapping = 26/50  ||  time = 5.9321 sec |||  76/10900
NatomsRetained = 1303   ||  NMapping = 27/50  ||  time = 6.1300 sec |||  77/10900
NatomsRetained = 1303   ||  NMapping = 28/50  ||  time = 6.1520 sec |||  78/10900
NatomsRetained = 1303   ||  NMapping = 29/50  ||  time = 5.8190 sec |||  79/10900
NatomsRetained = 1303   ||  NMapping = 30/50  ||  time = 5.8979 sec |||  80/10900
NatomsRetained = 1303   ||  NMapping = 31/50  ||  time = 6.0944 sec |||  81/10900
NatomsRetained = 1303   ||  NMapping = 32/50  ||  time = 5.8896 sec |||  82/10900
NatomsRetained = 1303   ||  NMapping = 33/50  ||  time = 6.0234 sec |||  83/10900
NatomsRetained = 1303   ||  NMapping = 34/50  ||  time = 5.8757 sec |||  84/10900
NatomsRetained = 1303   ||  NMapping = 35/50  ||  time = 6.1351 sec |||  85/10900
NatomsRetained = 1303   ||  NMapping = 36/50  ||  time = 6.0040 sec |||  86/10900
NatomsRetained = 1303   ||  NMapping = 37/50  ||  time = 5.9810 sec |||  87/10900
NatomsRetained = 1303   ||  NMapping = 38/50  ||  time = 6.0025 sec |||  88/10900
NatomsRetained = 1303   ||  NMapping = 39/50  ||  time = 5.8338 sec |||  89/10900
NatomsRetained = 1303   ||  NMapping = 40/50  ||  time = 5.8726 sec |||  90/10900
NatomsRetained = 1303   ||  NMapping = 41/50  ||  time = 6.0766 sec |||  91/10900
NatomsRetained = 1303   ||  NMapping = 42/50  ||  time = 6.1116 sec |||  92/10900
NatomsRetained = 1303   ||  NMapping = 43/50  ||  time = 6.0273 sec |||  93/10900
NatomsRetained = 1303   ||  NMapping = 44/50  ||  time = 5.9920 sec |||  94/10900
NatomsRetained = 1303   ||  NMapping = 45/50  ||  time = 5.9082 sec |||  95/10900
NatomsRetained = 1303   ||  NMapping = 46/50  ||  time = 5.9236 sec |||  96/10900
NatomsRetained = 1303   ||  NMapping = 47/50  ||  time = 6.2580 sec |||  97/10900
NatomsRetained = 1303   ||  NMapping = 48/50  ||  time = 5.9987 sec |||  98/10900
NatomsRetained = 1303   ||  NMapping = 49/50  ||  time = 5.9239 sec |||  99/10900
NatomsRetained = 1303   ||  NMapping = 50/50  ||  time = 5.8158 sec |||  100/10900
NatomsRetained = 1297   ||  NMapping = 1/50  ||  time = 5.8902 sec |||  101/10900
NatomsRetained = 1297   ||  NMapping = 2/50  ||  time = 5.9856 sec |||  102/10900
NatomsRetained = 1297   ||  NMapping = 3/50  ||  time = 6.0322 sec |||  103/10900
NatomsRetained = 1297   ||  NMapping = 4/50  ||  time = 5.9755 sec |||  104/10900
NatomsRetained = 1297   ||  NMapping = 5/50  ||  time = 5.9565 sec |||  105/10900
NatomsRetained = 1297   ||  NMapping = 6/50  ||  time = 5.8553 sec |||  106/10900
NatomsRetained = 1297   ||  NMapping = 7/50  ||  time = 5.8238 sec |||  107/10900
NatomsRetained = 1297   ||  NMapping = 8/50  ||  time = 6.2608 sec |||  108/10900
NatomsRetained = 1297   ||  NMapping = 9/50  ||  time = 6.0046 sec |||  109/10900
NatomsRetained = 1297   ||  NMapping = 10/50  ||  time = 6.3025 sec |||  110/10900
NatomsRetained = 1297   ||  NMapping = 11/50  ||  time = 6.0446 sec |||  111/10900
NatomsRetained = 1297   ||  NMapping = 12/50  ||  time = 5.8886 sec |||  112/10900
NatomsRetained = 1297   ||  NMapping = 13/50  ||  time = 5.7607 sec |||  113/10900
NatomsRetained = 1297   ||  NMapping = 14/50  ||  time = 6.2412 sec |||  114/10900
NatomsRetained = 1297   ||  NMapping = 15/50  ||  time = 5.9154 sec |||  115/10900
NatomsRetained = 1297   ||  NMapping = 16/50  ||  time = 6.3076 sec |||  116/10900
NatomsRetained = 1297   ||  NMapping = 17/50  ||  time = 6.3070 sec |||  117/10900
NatomsRetained = 1297   ||  NMapping = 18/50  ||  time = 5.9540 sec |||  118/10900
NatomsRetained = 1297   ||  NMapping = 19/50  ||  time = 5.9880 sec |||  119/10900
NatomsRetained = 1297   ||  NMapping = 20/50  ||  time = 5.9659 sec |||  120/10900
NatomsRetained = 1297   ||  NMapping = 21/50  ||  time = 6.1490 sec |||  121/10900
NatomsRetained = 1297   ||  NMapping = 22/50  ||  time = 6.1341 sec |||  122/10900
NatomsRetained = 1297   ||  NMapping = 23/50  ||  time = 5.8437 sec |||  123/10900
NatomsRetained = 1297   ||  NMapping = 24/50  ||  time = 5.8875 sec |||  124/10900
NatomsRetained = 1297   ||  NMapping = 25/50  ||  time = 6.1931 sec |||  125/10900
NatomsRetained = 1297   ||  NMapping = 26/50  ||  time = 6.0991 sec |||  126/10900
NatomsRetained = 1297   ||  NMapping = 27/50  ||  time = 6.0065 sec |||  127/10900
NatomsRetained = 1297   ||  NMapping = 28/50  ||  time = 6.2172 sec |||  128/10900
NatomsRetained = 1297   ||  NMapping = 29/50  ||  time = 6.0123 sec |||  129/10900
NatomsRetained = 1297   ||  NMapping = 30/50  ||  time = 6.0498 sec |||  130/10900
NatomsRetained = 1297   ||  NMapping = 31/50  ||  time = 6.1160 sec |||  131/10900
