NatomsRetained = 437   ||  NMapping = 22/50  ||  time = 3.1314 sec |||  72/10950
NatomsRetained = 437   ||  NMapping = 23/50  ||  time = 3.3185 sec |||  73/10950
NatomsRetained = 437   ||  NMapping = 24/50  ||  time = 3.3253 sec |||  74/10950
NatomsRetained = 437   ||  NMapping = 25/50  ||  time = 3.3492 sec |||  75/10950
NatomsRetained = 437   ||  NMapping = 26/50  ||  time = 3.1716 sec |||  76/10950
NatomsRetained = 437   ||  NMapping = 27/50  ||  time = 3.1346 sec |||  77/10950
NatomsRetained = 437   ||  NMapping = 28/50  ||  time = 3.3473 sec |||  78/10950
NatomsRetained = 437   ||  NMapping = 29/50  ||  time = 3.3334 sec |||  79/10950
NatomsRetained = 437   ||  NMapping = 30/50  ||  time = 3.1900 sec |||  80/10950
NatomsRetained = 437   ||  NMapping = 31/50  ||  time = 3.1179 sec |||  81/10950
NatomsRetained = 437   ||  NMapping = 32/50  ||  time = 3.3077 sec |||  82/10950
NatomsRetained = 437   ||  NMapping = 33/50  ||  time = 3.1788 sec |||  83/10950
NatomsRetained = 437   ||  NMapping = 34/50  ||  time = 3.2376 sec |||  84/10950
NatomsRetained = 437   ||  NMapping = 35/50  ||  time = 3.2951 sec |||  85/10950
NatomsRetained = 437   ||  NMapping = 36/50  ||  time = 3.3286 sec |||  86/10950
NatomsRetained = 437   ||  NMapping = 37/50  ||  time = 3.2509 sec |||  87/10950
NatomsRetained = 437   ||  NMapping = 38/50  ||  time = 3.2641 sec |||  88/10950
NatomsRetained = 437   ||  NMapping = 39/50  ||  time = 3.2782 sec |||  89/10950
NatomsRetained = 437   ||  NMapping = 40/50  ||  time = 3.1223 sec |||  90/10950
NatomsRetained = 437   ||  NMapping = 41/50  ||  time = 3.2392 sec |||  91/10950
NatomsRetained = 437   ||  NMapping = 42/50  ||  time = 3.2900 sec |||  92/10950
NatomsRetained = 437   ||  NMapping = 43/50  ||  time = 3.2343 sec |||  93/10950
NatomsRetained = 437   ||  NMapping = 44/50  ||  time = 3.2178 sec |||  94/10950
NatomsRetained = 437   ||  NMapping = 45/50  ||  time = 3.1085 sec |||  95/10950
NatomsRetained = 437   ||  NMapping = 46/50  ||  time = 3.1045 sec |||  96/10950
NatomsRetained = 437   ||  NMapping = 47/50  ||  time = 3.2292 sec |||  97/10950
NatomsRetained = 437   ||  NMapping = 48/50  ||  time = 3.2388 sec |||  98/10950
NatomsRetained = 437   ||  NMapping = 49/50  ||  time = 3.1328 sec |||  99/10950
NatomsRetained = 437   ||  NMapping = 50/50  ||  time = 3.2807 sec |||  100/10950
NatomsRetained = 435   ||  NMapping = 1/50  ||  time = 3.1046 sec |||  101/10950
NatomsRetained = 435   ||  NMapping = 2/50  ||  time = 3.2192 sec |||  102/10950
NatomsRetained = 435   ||  NMapping = 3/50  ||  time = 3.1008 sec |||  103/10950
NatomsRetained = 435   ||  NMapping = 4/50  ||  time = 3.2226 sec |||  104/10950
NatomsRetained = 435   ||  NMapping = 5/50  ||  time = 3.2284 sec |||  105/10950
NatomsRetained = 435   ||  NMapping = 6/50  ||  time = 3.0664 sec |||  106/10950
NatomsRetained = 435   ||  NMapping = 7/50  ||  time = 3.0726 sec |||  107/10950
NatomsRetained = 435   ||  NMapping = 8/50  ||  time = 3.2029 sec |||  108/10950
NatomsRetained = 435   ||  NMapping = 9/50  ||  time = 3.1688 sec |||  109/10950
NatomsRetained = 435   ||  NMapping = 10/50  ||  time = 3.1155 sec |||  110/10950
NatomsRetained = 435   ||  NMapping = 11/50  ||  time = 3.1064 sec |||  111/10950
NatomsRetained = 435   ||  NMapping = 12/50  ||  time = 3.2421 sec |||  112/10950
NatomsRetained = 435   ||  NMapping = 13/50  ||  time = 3.1463 sec |||  113/10950
NatomsRetained = 435   ||  NMapping = 14/50  ||  time = 3.0523 sec |||  114/10950
NatomsRetained = 435   ||  NMapping = 15/50  ||  time = 3.2769 sec |||  115/10950
NatomsRetained = 435   ||  NMapping = 16/50  ||  time = 3.0760 sec |||  116/10950
NatomsRetained = 435   ||  NMapping = 17/50  ||  time = 3.2451 sec |||  117/10950
NatomsRetained = 435   ||  NMapping = 18/50  ||  time = 3.1187 sec |||  118/10950
NatomsRetained = 435   ||  NMapping = 19/50  ||  time = 3.2971 sec |||  119/10950
NatomsRetained = 435   ||  NMapping = 20/50  ||  time = 3.2397 sec |||  120/10950
NatomsRetained = 435   ||  NMapping = 21/50  ||  time = 3.2030 sec |||  121/10950
NatomsRetained = 435   ||  NMapping = 22/50  ||  time = 3.2388 sec |||  122/10950
NatomsRetained = 435   ||  NMapping = 23/50  ||  time = 3.1819 sec |||  123/10950
NatomsRetained = 435   ||  NMapping = 24/50  ||  time = 3.0334 sec |||  124/10950
NatomsRetained = 435   ||  NMapping = 25/50  ||  time = 3.1560 sec |||  125/10950
NatomsRetained = 435   ||  NMapping = 26/50  ||  time = 3.1942 sec |||  126/10950
NatomsRetained = 435   ||  NMapping = 27/50  ||  time = 3.2940 sec |||  127/10950
NatomsRetained = 435   ||  NMapping = 28/50  ||  time = 3.2652 sec |||  128/10950
NatomsRetained = 435   ||  NMapping = 29/50  ||  time = 3.2999 sec |||  129/10950
NatomsRetained = 435   ||  NMapping = 30/50  ||  time = 3.2568 sec |||  130/10950
NatomsRetained = 435   ||  NMapping = 31/50  ||  time = 3.2773 sec |||  131/10950
NatomsRetained = 435   ||  NMapping = 32/50  ||  time = 3.2942 sec |||  132/10950
NatomsRetained = 435   ||  NMapping = 33/50  ||  time = 3.2313 sec |||  133/10950
NatomsRetained = 435   ||  NMapping = 34/50  ||  time = 3.1492 sec |||  134/10950
NatomsRetained = 435   ||  NMapping = 35/50  ||  time = 3.3272 sec |||  135/10950
