NatomsRetained = 952   ||  NMapping = 22/50  ||  time = 5.0269 sec |||  72/11950
NatomsRetained = 952   ||  NMapping = 23/50  ||  time = 5.0350 sec |||  73/11950
NatomsRetained = 952   ||  NMapping = 24/50  ||  time = 5.0862 sec |||  74/11950
NatomsRetained = 952   ||  NMapping = 25/50  ||  time = 5.1261 sec |||  75/11950
NatomsRetained = 952   ||  NMapping = 26/50  ||  time = 5.2285 sec |||  76/11950
NatomsRetained = 952   ||  NMapping = 27/50  ||  time = 5.2480 sec |||  77/11950
NatomsRetained = 952   ||  NMapping = 28/50  ||  time = 5.0644 sec |||  78/11950
NatomsRetained = 952   ||  NMapping = 29/50  ||  time = 5.1050 sec |||  79/11950
NatomsRetained = 952   ||  NMapping = 30/50  ||  time = 5.0617 sec |||  80/11950
NatomsRetained = 952   ||  NMapping = 31/50  ||  time = 5.0609 sec |||  81/11950
NatomsRetained = 952   ||  NMapping = 32/50  ||  time = 5.0486 sec |||  82/11950
NatomsRetained = 952   ||  NMapping = 33/50  ||  time = 5.0307 sec |||  83/11950
NatomsRetained = 952   ||  NMapping = 34/50  ||  time = 5.0999 sec |||  84/11950
NatomsRetained = 952   ||  NMapping = 35/50  ||  time = 5.0328 sec |||  85/11950
NatomsRetained = 952   ||  NMapping = 36/50  ||  time = 5.1665 sec |||  86/11950
NatomsRetained = 952   ||  NMapping = 37/50  ||  time = 5.1252 sec |||  87/11950
NatomsRetained = 952   ||  NMapping = 38/50  ||  time = 5.0873 sec |||  88/11950
NatomsRetained = 952   ||  NMapping = 39/50  ||  time = 4.9869 sec |||  89/11950
NatomsRetained = 952   ||  NMapping = 40/50  ||  time = 5.0439 sec |||  90/11950
NatomsRetained = 952   ||  NMapping = 41/50  ||  time = 5.0193 sec |||  91/11950
NatomsRetained = 952   ||  NMapping = 42/50  ||  time = 5.0461 sec |||  92/11950
NatomsRetained = 952   ||  NMapping = 43/50  ||  time = 5.0446 sec |||  93/11950
NatomsRetained = 952   ||  NMapping = 44/50  ||  time = 4.9751 sec |||  94/11950
NatomsRetained = 952   ||  NMapping = 45/50  ||  time = 5.0566 sec |||  95/11950
NatomsRetained = 952   ||  NMapping = 46/50  ||  time = 5.0404 sec |||  96/11950
NatomsRetained = 952   ||  NMapping = 47/50  ||  time = 5.0428 sec |||  97/11950
